GeneID	GSM3902321	GSM3902322
105378605	16	51
105378604	115	1025
27237	2954	1793
1953	5957	54620
105378608	50	271
693135	0	9
105378607	8	10
127262	2333	985
49856	903	812
7161	1202	140
105378610	2	4
105378609	8	0
57212	644	2767
148870	5	13
388588	42	155
57470	2485	7443
9731	2008	2803
1677	455	617
107984910	19	14
339448	790	379
100133612	14	19
728716	0	0
105376672	0	0
105376673	0	0
284661	0	0
105376674	0	0
105376679	0	0
107985376	0	0
55966	19	572
105376680	0	0
102724429	0	0
105376681	0	0
105376682	0	0
107984911	1	0
105376686	0	0
100616421	5	12
261734	1607	4073
8514	2693	8882
26038	21	27
105376687	0	0
6146	9388	2048
107985733	167	83
102724450	49	19
388591	2147	899
23463	6706	1507
148645	18	4
390992	3	33
387509	5812	10099
11332	1401	1372
54626	2027	227
83715	2836	237
100422975	2	0
8718	1351	1104
57449	4063	2325
79707	2852	854
80835	10	28
107984912	6	2
3104	1478	2491
9903	4547	8475
107984913	80	77
148479	1156	1056
90326	902	1035
55735	1734	870
100505887	0	0
110841581	18	17
23261	1048	632
105376692	2	4
102725193	3	5
101928836	3	0
105376691	1	0
105376689	52	55
9341	3702	838
8863	1016	1859
10911	72	3
3604	81	85
11315	3230	1080
54206	4619	7064
107984915	2	0
102724539	2	5
105376695	0	0
50651	22	135
473	5667	8360
102724552	74	1
106632271	25	2
2023	43924	11266
102465436	25	18
100505975	16	49
112268261	9	0
765	7	0
155184	0	0
6518	222	72
80045	3025	3192
106614088	541	549
407040	10	0
102724571	124	194
9563	6666	15787
80176	2020	3428
100506022	25	60
84275	448	499
199953	1172	1848
107985734	23	21
105376712	3	15
5293	2950	4009
644997	35	24
101929074	55	42
22883	27266	7389
56998	2134	3652
105376717	175	357
84328	2075	848
64802	494	267
113391335	28	0
100847055	1	0
116362	15	15
10277	5048	1115
23095	6835	3442
105376725	78	16
5226	3908	2695
100526739	149	81
378708	155	81
1325	13	0
1676	2017	1422
5195	1207	2416
54897	2966	12334
105376733	4	6
105376735	6	0
148345	40	53
23435	5686	1208
10747	129	18
6723	1160	1742
5394	2641	494
105376736	150	89
2475	6528	3189
100873935	153	59
10218	158	148
29914	675	432
105376737	6	0
105376739	3	2
105376740	2	0
57540	17	61
112268221	3	0
101929181	0	0
26232	507	1108
93611	929	1998
26270	477	416
10459	1086	871
374946	35	61
57085	3002	1021
284498	404	2132
102724659	1	2
4524	2067	7317
1185	1175	1258
100379251	141	163
4878	39	48
4879	0	7
26829	40	0
90231	3321	13075
5351	5422	3626
9927	10524	7777
60672	811	2699
102466982	3	11
943	118	250
102465836	67	289
7133	3358	11374
100616438	29	67
107984917	48	27
55187	13969	5655
677885	131	44
105376744	44	64
9249	14964	11128
102466722	66	47
343066	0	0
126767	0	0
93190	8	0
390999	0	0
65121	0	0
105376745	0	0
440560	0	0
343069	0	0
65122	0	0
400735	0	0
343071	0	0
441871	0	0
440561	0	0
101929983	0	0
649330	0	0
441873	0	0
649324	1	2
440563	0	0
645354	1	2
645359	0	0
101060301	0	0
343070	0	0
400736	0	0
391003	0	0
343068	0	0
391002	0	0
645382	0	0
653619	0	0
729528	0	0
645414	0	0
391004	0	0
645425	0	0
126755	2	2
102724856	0	7
107984918	0	2
10630	423	770
107984919	6	3
105378612	0	3
105376756	0	0
7799	3214	1320
23254	1396	6181
107985467	35	7
107985468	12	11
105376762	13	19
105376759	52	126
107985469	10	11
200197	168	475
55092	894	855
727684	181	100
114827	355	280
101927417	53	42
101927441	598	621
79180	12130	12406
11330	15	45
63036	7	24
105376767	5	3
51032	26	36
842	622	1908
23341	2432	354
107397391	6	0
79814	154	112
84301	4899	1735
6248	835	81
23207	5048	10813
284723	59	362
110806303	4	16
388595	0	14
54751	2443	4698
440567	29	5
729614	484	577
23013	9425	4609
7709	1720	3285
149563	0	0
27129	27	301
1187	9	37
1188	31	48
348487	82	20
1969	3602	6384
101927479	107	664
128272	3720	1150
101927546	117	52
79363	179	509
54455	2156	1428
26099	3334	3169
374955	1889	1799
55707	2219	3527
107984921	159	69
114819	614	1514
26871	23	40
107985757	0	4
100132147	1	2
107985758	0	2
7195	0	0
55672	3008	2968
105376794	1629	1631
84809	877	2885
11209	421	918
107985736	15	21
26869	21	18
107985759	0	0
284729	10	26
100189045	0	0
6060	20	15
11223	254	1082
100500876	0	0
100189298	0	0
112267871	0	9
7193	0	2
100189183	0	0
105376805	167	109
791226	1	0
26870	14	19
9696	4378	9514
4237	418	316
105376806	83	20
23400	4696	4944
6390	1861	209
11240	547	343
105376808	0	0
400743	248	0
29943	3565	8
51702	5089	0
100616188	15	0
23569	36	60
353238	1	0
55920	10890	4154
55160	2959	8209
107984028	0	0
81569	0	0
105376809	0	0
105376812	0	0
101927876	0	0
84966	17	576
105376814	12	48
127707	87	337
5081	1745	0
80834	4	0
8659	1946	1167
100616120	1	0
100302276	2	0
126917	4424	2899
105376815	6	0
23352	32797	13891
101927895	338	313
23065	5899	1924
51154	1786	650
246181	46	23
22977	188	37
100506730	107	29
8574	2510	952
54896	730	1920
832	7635	5521
105376819	6	0
105376818	3	0
105376817	6	0
105378614	1	0
440574	1952	592
100532736	4112	26862
644068	66	47
4681	3858	27629
3362	35	134
255104	1267	2557
54546	0	0
105376823	11	0
23252	988	428
30814	0	0
5320	19	294
5322	24	80
26279	40	39
64600	669	4
391013	9	0
127733	205	236
101928017	8	17
105376825	8	8
105376826	1	0
105376827	0	0
105376828	0	0
127731	5	103
339505	7	0
55450	2077	18207
79594	1747	2563
163933	14	181
978	89	51
65018	1276	4779
102464833	112	1369
100861548	1328	2927
1650	8344	3535
57576	46	419
400745	159	69
112268222	1297	239
50809	8485	2840
8672	5004	1343
105376830	157	9
105376829	157	31
100302155	28	14
1889	9768	8041
100506801	164	114
105376832	0	0
84224	1144	303
249	1988	7244
105376834	0	202
5909	1367	4182
84196	5330	613
401944	4052	5546
3339	61571	97726
23436	7	0
10136	3	0
101928043	20	2
29092	459	231
112268223	22	84
998	15926	1305
54361	411	439
105376845	38	36
105376850	25	2
107985377	3	2
100616433	0	0
105376856	0	0
9923	2520	2605
2046	1	0
102466615	0	0
712	3465	16183
714	4603	29344
713	2345	10595
2048	4717	297
100616391	5	0
100422914	172	4
646262	0	0
729059	17	0
23028	4106	1231
100422866	7	5
7798	2822	1316
3352	26	8
100996511	560	11
10236	6232	451
80818	2368	372
148898	150	158
6920	628	988
55616	1322	2922
1870	784	93
101928163	31	0
105376859	3	6
3399	613	8697
107984928	0	3
259283	5	2
6135	6467	1513
6924	2769	1144
100506963	350	120
57095	1606	768
105376860	195	61
11313	1888	1558
2582	2169	812
3155	1563	1342
105376861	1	0
2517	2100	4113
1269	39	3
107984929	4	0
100616492	0	0
55629	2843	772
10772	5075	820
105378615	0	0
105376863	4	0
107984931	1	5
127294	23	59
107985737	0	0
105376864	0	3
58985	279	127
163702	1156	819
284632	1	0
105376871	86	0
57822	422	14
90529	486	137
57185	1853	1760
100750325	6	0
11123	2119	653
100506985	146	3
400746	68	141
10250	4030	912
25932	4072	4396
105376876	1	10
864	1831	3291
102465437	15	8
107984932	120	139
105376878	535	209
100616365	1	0
105376879	0	0
25949	412	75
57035	4607	3624
105376882	7	0
6007	186	40
23585	1870	476
6006	1229	118
55219	1211	257
26119	3200	2154
57134	775	7425
57190	6148	9878
56181	896	788
646471	225	257
79000	408	237
164091	985	689
3925	2369	516
100500808	149	59
105376885	0	0
5051	1444	944
101928216	13	30
2134	54	81
7780	4	25
105376910	1	0
84676	2	66
149420	1143	61
105376886	1	5
79927	43	2289
110806296	0	11
51042	588	846
10256	1177	1282
378807	1	2
101928303	6	3
64793	1712	283
83442	3771	2420
91544	1384	4266
1043	158	111
55057	3407	223
257101	67	70
79727	4	13
79947	2061	954
101928324	113	22
3151	10643	2830
6195	4776	8345
100302190	15	54
105376888	4	2
101928728	84	7
8289	8167	5663
55650	908	322
84243	2786	2588
2810	17682	1554
54707	1135	1654
63906	467	803
10726	1130	1646
8431	15	110
126695	696	327
388610	351	4109
115572	304	7141
101928391	134	23
6548	3215	3410
102723760	0	0
105376890	0	0
23038	2960	4947
84065	896	1349
644961	137	23
84958	5273	5195
9064	4805	13121
8547	251	10241
388611	182	33
2827	41	113
10163	10002	10662
105376892	23	2
27245	3768	4147
2268	1567	2997
111216282	0	0
2537	1335	16724
199870	726	199
23673	2277	718
5511	1564	270
677774	18	3
9473	3005	12729
6118	1363	394
27293	156	328
55113	376	1090
2140	2975	657
5724	1940	1814
22826	2183	626
93974	785	135
83667	827	2262
54797	548	512
65979	2295	1733
1104	2860	664
8420	1349	172
6080	500	28
26768	1194	631
54952	984	153
85028	1179	908
692212	40	1
677838	98	4
677825	71	34
692073	141	13
115273	277	216
6883	722	87
105378616	22	5
26824	11	5
10691	657	428
51441	3292	536
4985	8	18
2035	3373	1803
399474	208	1744
6429	2176	861
51102	1032	541
10076	5153	4307
101928460	11	29
107984933	0	0
107984934	0	0
101929406	4	0
105378617	13	39
105378618	0	0
4146	78	110
100129196	96	272
7805	6840	10101
100616164	34	30
105378620	767	1644
105378621	0	0
105378622	0	0
400748	1	0
9672	4496	7219
9698	7038	1655
692234	74	27
692235	64	19
692200	34	6
107984935	2	13
79570	64	0
9410	2088	347
51538	1048	129
2170	120	174
105378623	2	1
107985470	0	0
347735	6356	745
105378625	117	0
105379772	135	0
149086	75	9
284551	47	0
105378626	120	38
64129	5642	8641
3061	236	188
553115	2072	1551
107985471	76	74
105378628	2	4
1307	3937	13539
101929444	124	53
576	169	231
100423028	0	0
90853	190	1188
8073	5122	1399
10657	6190	4659
55116	852	486
100847018	2	4
23633	6361	1694
200081	4605	4116
79140	258	325
56063	809	799
55721	383	463
149069	394	310
8668	5881	2621
339483	579	1833
84734	131	680
3932	400	969
3065	9543	662
65108	4157	3720
105378629	23	16
81629	320	254
100128071	232	1188
55108	3359	3757
728116	7	20
653121	976	382
102723870	8	4
339487	593	42
5928	5250	786
81493	1404	428
57648	13153	5909
8565	3215	1786
64766	1897	723
252995	104	129
105378631	8	7
3208	210	100
113452	1852	976
105378632	0	2
127544	3321	7899
204	4200	3667
105378635	0	0
113451	350	400
112268224	90	17
55223	452	460
149076	1644	3313
127550	12	126
1912	4527	11651
100500853	234	302
101929464	74	7
7579	676	424
114784	470	61
105378638	2	0
127540	2	0
402779	9	0
84970	0	0
105378639	0	0
105378640	0	0
105378641	3	0
693137	0	0
105378642	10	0
2709	739	7
127534	639	0
2707	1876	65
2701	190	1750
113444	1024	794
58512	29	187
653160	167	261
100506144	455	916
9204	1684	106
79830	2362	127
105378644	5	0
6421	11478	3299
9202	4240	739
100861513	178	12
79932	3948	4050
23154	1226	4061
339488	190	211
105378645	44	296
5690	3698	682
105378646	0	0
127703	387	515
63967	1043	23
192670	2897	980
26523	3500	1916
192669	4494	1778
105378647	53	3
27285	40	61
54936	911	2246
1296	444	3690
27095	1782	923
55700	4766	20776
9967	7903	3688
79729	1366	1311
55194	950	5683
83931	2026	3954
84967	664	322
127700	233	51
109616970	6	1
107984940	14	0
64960	1126	327
1441	7049	3765
107984941	0	0
105378648	0	9
2899	0	118
100422898	0	0
107984942	1	0
728431	268	242
80149	2181	8586
102465438	70	469
64769	1782	385
100847010	23	10
105378649	90	10
79753	841	528
7802	116	442
29889	2057	511
284654	2	1117
54955	983	572
55143	996	6
284656	102	108
105378650	0	0
149175	77	368
79693	1005	1084
127687	1353	3798
4520	2164	745
3633	1466	1617
105378651	82	184
10946	2448	800
2275	698	623
51118	784	44
5453	89	22
107985103	12	11
105378653	18	2
100500801	1	0
105378655	2	0
105378654	3	0
339442	0	0
105378657	1	0
107984943	1	0
105378656	0	0
105378658	0	0
105378660	16	0
64121	1683	605
100527950	711	209
26292	628	198
105378663	32	30
81025	64	9
54933	939	72
105378662	201	87
79647	2160	2189
4725	520	55
23499	30895	57391
643314	2312	3977
105378950	17	174
353500	495	442
192217	28	220
728448	484	216
8761	6553	4358
101929516	1081	218
677834	58	43
26508	799	3128
84618	4	3
51440	8	51
10450	1389	863
656	492	251
64064	30	152
105378666	8	1
101929536	17	28
105378951	14	0
107985740	4	0
105378665	2	0
105378667	6	2
54802	1506	226
4610	750	449
105378668	44	32
84879	1138	4421
105378669	8	0
10487	8768	1597
5538	10514	1308
105378671	1	0
6018	4129	444
127391	0	0
10269	3351	212
1298	202	1543
107984945	53	11
64744	3521	10215
65243	180	45
339559	149	275
105378672	13	0
64789	193	78
127396	125	15
105378673	0	2
9783	272	808
105378675	2	0
105378674	3	11
100130557	175	147
4802	1488	378
407034	3	7
407031	8	1
9132	60	61
105378676	0	0
163732	2312	6663
1503	2085	556
100507178	669	710
200172	668	850
22955	1699	1085
100132074	389	622
101929901	14	15
105378678	23	40
1907	147	165
59269	2106	2630
2981	0	0
2980	1	41
22887	3395	600
284716	111	607
84217	20	7
728621	467	276
79717	1069	533
10465	1284	183
4904	8271	789
149461	8	69
64175	1276	2115
79078	449	200
105378683	26	13
100129924	73	29
107984946	30	10
374969	138	233
114625	857	786
51058	276	61
339539	1	0
6513	27935	472
440584	190	0
440585	314	5
10969	1491	2772
102465439	1	5
149465	33	20
105378685	7	0
128218	631	15234
149466	221	529
7075	765	7428
4352	42	54
105378687	45	3
991	1984	9
64834	2946	1256
102466723	21	8
112268225	53	15
112950	989	800
107984947	163	50
23334	5594	8412
100873952	188	520
102465440	3	6
81888	432	1421
5792	37700	23421
9682	3301	2168
100132774	291	127
6487	728	535
101929592	24	13
102464830	28	4
9048	149	73
105378688	44	2
101929609	158	85
9670	1469	1572
1802	1108	1234
533	3132	2635
8704	1960	1807
149473	247	416
6536	308	654
107984948	20	21
128209	13	67
105378952	0	0
55929	832	1665
79033	1995	1672
100874278	223	74
106635545	18	1
55182	1647	1230
107984951	1	0
100847089	0	0
107984950	627	506
79639	210	383
109623472	5	0
339541	95	430
105378690	9	3
26828	16	2
26830	0	0
11004	1987	27
109623476	8	6
6202	35283	4144
26811	89	191
94161	79	65
94162	38	10
94163	63	9
266675	46	58
1263	1412	5742
343521	488	3077
149478	488	2712
107984952	29	146
8643	114	110
8891	921	195
79654	2389	4156
7389	1509	657
57643	1200	666
105378691	17	17
400752	16	11
84842	168	139
4595	509	707
114034	301	182
10420	784	231
126661	63	5
25974	3517	556
5052	9966	1351
10327	3915	2925
4678	2487	834
149483	416	297
60313	5526	2072
728963	90	5
51249	1026	30
3652	1127	241
105378693	0	13
23139	4090	3837
105378694	161	26
110117499	359	221
8503	520	1216
101929626	4	0
10103	3675	96
110117498	0	0
55624	3901	2581
541468	96	56
8438	886	53
10489	3252	2729
7388	2254	173
387338	1358	584
2166	931	3584
729041	9	40
101929651	2	0
127343	581	0
105378696	6	0
100507423	373	100
148930	1	0
8569	3119	1223
148932	1661	2588
105378697	3	0
64756	1344	724
374973	35	30
100130197	447	40
9813	9132	4298
105378698	116	7
105378699	2	2
1580	2129	22070
163720	314	396
1579	189	1802
260293	1324	357
199974	201	110
284541	92	278
105378701	93	10
100874253	32	40
10158	938	538
6886	184	1208
6491	1445	27
51727	5593	1132
102724077	68	8
2301	8	11
84793	290	89
2306	68	160
107984953	0	0
388630	73	496
105379778	12	0
391037	10	1
200010	311	2735
54558	627	244
84871	11	0
79656	39	143
105378706	1	0
101929721	0	0
100874313	5	0
107984954	9	0
105378708	0	0
1996	10	0
105378709	0	0
107984955	0	0
105378711	0	0
105378710	0	0
105378712	0	0
63950	1080	2
105378714	52	0
11124	2864	659
105378715	277	23
112268262	41	0
1031	474	503
100616189	0	8
102466656	0	5
284546	2	0
105378716	4	0
26994	3449	5680
22996	893	1190
105378717	40	24
102724097	25	51
2060	5657	1591
105378720	129	66
441884	6	0
105378719	44	1
114883	3779	1378
4898	8881	2694
105378721	525	79
100313892	60	38
5865	17	3
51060	3422	985
112970	170	347
104355143	36	1
91408	2133	121
107984956	0	0
9372	2496	2108
200014	2952	6115
4998	628	19
84950	1413	665
23318	3303	220
105378723	57	48
2882	90	160
348378	76	58
65260	1292	248
79699	3960	857
440590	62	0
55268	2307	6317
6342	5057	1202
127435	786	8439
6512	69	368
105378724	0	0
1376	1020	807
54987	854	468
4116	435	30
100507564	58	2
7804	2250	573
105378728	122	6
105378726	791	208
105378732	0	0
105378731	7	3
105378730	1	0
107984957	5	11
163742	0	0
105378733	0	0
63948	0	0
148979	63	18
55706	5094	47
54432	678	215
1733	37	29
51668	395	47
115353	1245	324
388633	45	19
9528	6683	2155
127428	692	225
100616315	0	0
200008	7	11
606495	476	229
51253	3000	1107
23648	1471	1135
619518	195	118
105378735	2	0
105378734	3	0
26027	888	505
338094	157	40
100527960	632	271
374977	81	101
7268	557	173
25973	163	69
55001	1213	1451
163747	21	32
1718	18327	32093
107984958	41	82
107985760	2	0
105378736	2	0
199964	84	52
7809	4	52
255738	161	3750
23358	7962	1954
100507634	13	63
109729135	0	0
100616272	0	0
105378740	1	0
105378739	0	0
105378738	0	0
105378737	3	0
105378741	12	3
105378744	68	27
8613	3444	6393
101929935	0	10
5563	88	113
199920	58	47
731	11	20
732	3	314
105378745	0	33
112267900	8	90
1600	30	89
105378748	1	7
105378747	4	0
101926890	0	0
105378746	12	3
107984960	471	56
115209	1096	80
4070	15531	6531
114803	4641	123
112268263	27	9
105378751	19	22
3725	7643	104873
100131060	10	11
101926907	165	50
107984961	13	5
105378753	54	61
101926925	2	4
729467	1	4
105378756	84	7
55277	1476	226
100616409	13	0
101926944	25	0
105378758	7	2
51361	1651	107
1573	24	6
127795	4	6
105378760	0	0
107984963	0	0
105378761	0	0
107984962	0	0
107985379	0	0
105378763	380	0
101926964	1	0
105378764	2	0
100996570	2	0
4774	3903	1226
645030	109	14
105378766	0	0
107984964	4	0
414927	12	19
83941	1036	72
10207	8541	3307
113219465	17	0
107984965	173	49
100422902	3	0
100422946	3	0
54596	10	28
163782	49	1310
105378768	3	0
7398	2247	576
85440	3991	289
27329	177	0
84938	538	32
105378769	0	0
199899	0	0
105378770	0	0
100996301	10	0
27022	5	0
102464823	0	0
29929	1035	7
23421	587	28
102724319	29	0
84455	359	24
79469	54	0
5236	1176	5870
105378771	1	42
4919	445	4604
105378772	22	10
101927034	89	82
105378773	4	8
148581	6	3
105378774	0	0
107984966	90	123
57685	3704	5110
100616338	17	0
55225	2256	310
3716	10332	7605
101927084	95	1
100500854	29	0
406893	2	0
205	3008	242
9829	69	84
102724416	38	21
112268227	8	5
3953	1624	766
54741	6043	718
5142	1494	827
101927139	8	0
105378776	13	0
84251	291	198
100422871	14	5
200132	37	42
10022	0	0
79819	169	32
57708	3411	671
23169	2074	369
400757	5	0
149233	7	0
3595	479	255
105378779	29	0
26135	12793	1966
102724481	1	0
105378780	0	0
1647	2028	5543
55970	6548	1707
105378781	126	36
100289178	98	33
9077	19	190
79971	667	1708
100302279	10	0
105378782	0	0
6121	2	0
55635	1404	13
101927220	11	0
107984967	0	0
105378783	29	0
105378785	14	0
105378787	20	0
105378786	12	0
105378788	1	0
105378789	1	0
105378790	0	0
57554	29	7
5301	0	0
105378792	0	0
55631	1209	33
9295	10699	709
81573	1634	687
11147	404	668
102724548	11	0
1491	58	83
105378793	0	0
105378794	0	0
101927244	1	0
102724572	0	0
5733	12	52
107985517	1	0
100132618	394	87
9406	3366	370
406962	29	0
100852410	12	7
105378795	10	3
257194	90	481
100852409	1	0
105378797	7	17
105378796	18	0
105378798	39	0
339468	10	0
105378799	8	0
105378800	0	0
101927295	0	0
105378801	0	0
107985391	0	0
105378802	0	0
109729166	0	0
127255	19	0
100526835	231	23
8790	1211	80
51086	82	10
105378805	2	0
105378803	1	0
127254	84	5
101927320	4	0
1429	1189	200
127253	732	94
431707	0	0
204962	2146	0
34	1672	261
1744	230	108
5876	2432	214
692085	168	12
26805	136	4
26804	111	8
4438	12	35
127247	0	0
105378806	1	0
101927342	0	0
256435	148	368
105378807	16	0
110806286	0	0
81849	284	835
102466995	1	12
10026	1470	62
105378808	3	0
26289	21	8
26009	3067	146
23032	3529	507
374986	2719	204
374987	64	160
91624	1428	96
8880	4877	427
11080	917	225
54810	75	104
107984997	8	4
149047	100	82
5737	49	23
10964	470	220
10561	1227	299
64123	334	119
107984998	2	0
105378810	0	0
105378812	0	0
105378811	0	0
107983999	0	0
101927412	2	0
105378813	9	0
107985018	1	0
23266	1920	10928
101927434	3	0
105378814	0	0
107985396	0	0
103283057	133	0
101927498	18	0
107985037	156	0
105378816	88	0
101927542	4	0
107985043	7	9
101927587	3	41
101927560	5	5
107985041	4	0
79739	136	306
5567	1022	533
107985046	47	17
112268230	0	0
148418	122	8
391051	3	0
58511	14	5
80135	542	51
2787	480	354
100505741	305	129
1486	1718	173
105378819	20	12
103695366	12	30
439927	1	0
117178	1797	72
102724892	39	0
23566	2529	50
255231	375	375
55283	173	223
126820	38	10
100616481	0	0
84144	966	5262
105378821	3	0
148423	1442	337
8915	1945	378
646626	102	139
23576	1320	3094
107985054	173	14
3491	6287	24577
107985057	66	4
112268231	22	5
54680	1476	242
105378823	3	0
255631	300	12
105378824	67	11
105378825	79	0
57489	3988	218
102465842	6	0
9635	48035	3
1179	3	0
105378827	3	0
105378826	4	0
22802	31064	0
105378828	1894	22
9629	640	0
51100	6271	705
105378831	4	0
9403	6668	2721
9653	4407	983
339524	84	67
101927844	1	3
8543	2180	1192
100505768	24	0
105378833	105	31
105378834	23	0
107985408	1	0
105378835	0	0
107985518	0	0
107985519	0	0
101927871	2	0
105378836	0	0
105378839	7	3
101927891	22	10
105378838	8	3
5586	7643	447
2959	686	102
56267	903	67
494115	984	207
2635	1061	281
105378841	34	118
2633	1726	1274
2634	1633	531
112268267	1102	196
105378842	4	6
388646	3	14
115361	1309	1226
107985076	3	1
105378843	0	0
115362	2688	508
729930	0	0
163351	1929	2
400759	249	97
105378844	9	0
23507	3479	371
84230	2942	729
400761	68	84
107985743	81	0
101927952	53	1
107985744	37	10
101927975	9	0
55144	1553	458
105378847	5	6
492303	80	4
284695	1964	229
105378848	4	0
105378849	17	0
107985088	62	2
105378850	2	0
105378851	0	0
105378852	0	0
109616984	0	0
343472	0	0
105378853	40	32
105378855	19	0
105378854	2	0
84146	4396	471
164045	52	8
107985412	0	0
107985417	0	0
105378856	0	0
8317	940	80
102723436	3	19
7049	715	7545
676	0	10
253152	15	29
646817	2	3
284697	169	58
23285	293	60
388649	4	0
11146	887	52
79871	2603	428
2672	448	636
7813	2163	1224
6125	17662	7369
388650	1023	35
6083	47	11
26782	45	3
22823	1756	175
50999	2921	329
343099	1273	249
107985521	24	3
100131564	1724	168
1810	5048	708
54874	3876	619
107985761	24	7
8412	1499	1483
100129046	227	169
102723480	21	10
723788	13	16
100126348	12	47
100189133	1	0
30836	1329	196
2730	2023	1009
24	82	111
105378858	3	0
9411	1620	1241
107985092	4	20
105378859	0	0
5825	2940	340
2152	2022	3345
113219466	2	0
105378861	27	3
101928079	139	66
105378860	36	21
100616321	10	3
126969	310	311
1266	2352	2104
105378862	134	1017
729970	50	83
199857	342	71
105378863	22	16
101928098	14	2
148534	100	218
100527978	155	157
101928118	20	22
25950	347	153
100996630	0	0
105378864	0	0
105379825	0	0
101928169	0	0
107985420	0	0
440594	0	0
100996635	0	0
101928219	40	0
102723661	0	0
101928241	0	0
105378866	3	0
58155	1904	147
1806	8171	1675
100873932	341	41
105378867	243	9
100873933	212	5
109729128	1	0
400765	2	0
100616452	0	0
406928	0	0
729987	1	0
51375	1630	124
163404	3	0
100129620	0	0
9890	109	13
107985093	3	0
101928270	3	0
54873	945	200
391059	4479	242
178	4063	165
23443	3047	506
64645	3259	477
163786	1140	7
54482	1068	148
127495	213	9
1629	2305	483
100506007	44	18
8634	1207	371
693138	12	0
8556	1163	1064
105379827	94	83
54112	1	63
100128787	0	0
7412	686	655
2135	896	79
148867	2543	354
51611	2054	247
102606465	361	68
107985094	0	0
101928334	5	0
101928370	13	137
1901	520	1812
102723784	0	0
104355286	0	0
105378872	2	0
118427	3	0
94236	0	0
107985095	0	0
105378874	0	0
112268286	0	0
107985096	0	0
1301	854	212
101928436	2	0
55599	951	268
280	438	146
648740	54	22
279	7	15
276	94	11
277	59	7
105378878	3	0
278	90	10
100129138	0	0
105378879	0	0
105378880	1	0
105378881	0	0
101928476	0	0
105378882	0	0
105378883	0	0
105378884	0	0
107985116	0	0
105378886	0	0
105378885	0	0
105378887	0	0
105378889	0	0
105378888	0	0
55170	918	1299
22854	57	317
10451	2256	660
102465839	0	0
100873946	4	5
107985124	71	6
29957	3681	1648
148545	2	1
653149	4	1
284611	2278	1061
113802	266	61
105378890	11	4
55119	1476	953
163479	4	12
6814	2625	128
105378891	1	3
254268	10	11
642864	0	0
107985159	0	0
29899	3660	571
23155	1721	535
22911	1581	263
6884	733	117
105378892	11	1
56900	2379	402
677766	12362	24178
127003	16	1
57535	577	129
6301	3615	2351
1952	9534	2013
84722	694	595
343263	61	267
6272	2558	11098
5686	2129	347
284612	38	67
127002	257	279
284613	589	954
57463	77	623
105378893	0	0
83873	13	1
2773	5682	575
406974	10	11
2780	110	36
271	2764	4264
2948	141	312
2946	205	431
2944	22	24
2949	30	216
2947	137	552
79574	12	60
107985167	9	5
1435	1391	6604
10768	5915	2694
85369	2379	1949
105378895	3	5
257	271	439
104355139	2	0
164153	1	3
388662	10	31
105378897	1	7
100873974	6	16
3749	3907	2608
440600	26	3
64783	2234	1133
9122	565	289
10542	1348	258
101410535	18	2
84432	4	5
105378899	0	0
105378898	0	0
643160	10	16
